candidate_set,tissue_from,tissue_to,method_a,method_b,delta_from,delta_to,reversal
tf_sources,kidney,lung,grnboost2,scgpt_attention,0.02556556,0.02502689,False
tf_sources,kidney,lung,grnboost2,spearman,-0.0029175999999999994,0.012131,True
tf_sources,kidney,lung,pearson,random,0.02331055,0.00990948,False
tf_sources,kidney,lung,pearson,scgpt_attention,0.026644360000000002,0.01306599,False
tf_sources,kidney,lung,pearson,spearman,-0.001838799999999998,0.00017009999999999942,True
tf_sources,kidney,lung,random,scgpt_attention,0.0033338100000000004,0.00315651,False
tf_sources,kidney,lung,random,spearman,-0.02514935,-0.00973938,False
tf_sources,kidney,lung,scgpt_attention,spearman,-0.02848316,-0.01289589,False
tf_sources_targets,immune,kidney,genie3,grnboost2,-0.00197022,-0.00043299999999999936,False
tf_sources_targets,immune,kidney,genie3,pearson,-0.004923219999999999,-0.005329399999999998,False
tf_sources_targets,immune,kidney,genie3,random,-0.00041375999999999913,0.0168733,True
tf_sources_targets,immune,kidney,genie3,scgpt_attention,0.0010999700000000005,0.02355521,False
tf_sources_targets,immune,kidney,genie3,spearman,-0.00597692,-0.008797,False
tf_sources_targets,immune,kidney,grnboost2,pearson,-0.002952999999999999,-0.004896399999999999,False
tf_sources_targets,immune,kidney,grnboost2,random,0.0015564600000000008,0.0173063,False
tf_sources_targets,immune,kidney,grnboost2,scgpt_attention,0.0030701900000000004,0.02398821,False
tf_sources_targets,immune,kidney,grnboost2,spearman,-0.0040067,-0.008364,False
tf_sources_targets,immune,kidney,pearson,random,0.00450946,0.0222027,False
tf_sources_targets,immune,kidney,pearson,scgpt_attention,0.0060231899999999994,0.028884609999999998,False
tf_sources_targets,immune,kidney,pearson,spearman,-0.0010537000000000012,-0.0034676000000000012,False
tf_sources_targets,immune,kidney,random,scgpt_attention,0.0015137299999999996,0.006681909999999999,False
tf_sources_targets,immune,kidney,random,spearman,-0.005563160000000001,-0.0256703,False
tf_sources_targets,immune,kidney,scgpt_attention,spearman,-0.007076890000000001,-0.03235221,False
tf_sources_targets,immune,lung,genie3,grnboost2,-0.00197022,0.00016410000000000036,True
tf_sources_targets,immune,lung,genie3,pearson,-0.004923219999999999,0.005251100000000002,True
tf_sources_targets,immune,lung,genie3,random,-0.00041375999999999913,0.013351,True
tf_sources_targets,immune,lung,genie3,scgpt_attention,0.0010999700000000005,0.01628375,False
tf_sources_targets,immune,lung,genie3,spearman,-0.00597692,0.006163100000000001,True
tf_sources_targets,immune,lung,grnboost2,pearson,-0.002952999999999999,0.005087000000000001,True
tf_sources_targets,immune,lung,grnboost2,random,0.0015564600000000008,0.0131869,False
tf_sources_targets,immune,lung,grnboost2,scgpt_attention,0.0030701900000000004,0.01611965,False
tf_sources_targets,immune,lung,grnboost2,spearman,-0.0040067,0.005999000000000001,True
tf_sources_targets,immune,lung,pearson,random,0.00450946,0.008099899999999998,False
tf_sources_targets,immune,lung,pearson,scgpt_attention,0.0060231899999999994,0.011032649999999998,False
tf_sources_targets,immune,lung,pearson,spearman,-0.0010537000000000012,0.0009119999999999996,True
tf_sources_targets,immune,lung,random,scgpt_attention,0.0015137299999999996,0.0029327499999999996,False
tf_sources_targets,immune,lung,random,spearman,-0.005563160000000001,-0.007187899999999999,False
tf_sources_targets,immune,lung,scgpt_attention,spearman,-0.007076890000000001,-0.010120649999999998,False
tf_sources_targets,kidney,lung,genie3,grnboost2,-0.00043299999999999936,0.00016410000000000036,True
tf_sources_targets,kidney,lung,genie3,pearson,-0.005329399999999998,0.005251100000000002,True
tf_sources_targets,kidney,lung,genie3,random,0.0168733,0.013351,False
tf_sources_targets,kidney,lung,genie3,scgpt_attention,0.02355521,0.01628375,False
tf_sources_targets,kidney,lung,genie3,spearman,-0.008797,0.006163100000000001,True
tf_sources_targets,kidney,lung,grnboost2,pearson,-0.004896399999999999,0.005087000000000001,True
tf_sources_targets,kidney,lung,grnboost2,random,0.0173063,0.0131869,False
tf_sources_targets,kidney,lung,grnboost2,scgpt_attention,0.02398821,0.01611965,False
tf_sources_targets,kidney,lung,grnboost2,spearman,-0.008364,0.005999000000000001,True
tf_sources_targets,kidney,lung,pearson,random,0.0222027,0.008099899999999998,False
tf_sources_targets,kidney,lung,pearson,scgpt_attention,0.028884609999999998,0.011032649999999998,False
tf_sources_targets,kidney,lung,pearson,spearman,-0.0034676000000000012,0.0009119999999999996,True
tf_sources_targets,kidney,lung,random,scgpt_attention,0.006681909999999999,0.0029327499999999996,False
tf_sources_targets,kidney,lung,random,spearman,-0.0256703,-0.007187899999999999,False
tf_sources_targets,kidney,lung,scgpt_attention,spearman,-0.03235221,-0.010120649999999998,False
