scope,tau,n_kept,n_reversals,rate,wilson_low,wilson_high,cluster_mean,cluster_low,cluster_high,n_clusters
tissue,8.243999999999984e-07,135,26,0.1925925925925926,0.13495531552123163,0.26724114432941837,0.1925925925925926,0.08888888888888888,0.3111111111111111,15
tissue,3.264138e-05,128,24,0.1875,0.12936052020943412,0.2638507272268834,0.1925925925925926,0.08888888888888888,0.3111111111111111,15
tissue,7.169999999999746e-05,122,24,0.19672131147540983,0.13591035553474007,0.27604880582366603,0.1925925925925926,0.08888888888888888,0.3111111111111111,15
tissue,0.0004464549999999997,101,17,0.16831683168316833,0.10782685390786728,0.2531138413886562,0.16190476190476188,0.058201058201058205,0.2804232804232804,15
tissue,0.00193524,69,11,0.15942028985507245,0.09141730642401869,0.26334700407986916,0.1509157509157509,0.03296703296703297,0.2945054945054945,13
tissue,0.005407130000000001,34,3,0.08823529411764706,0.030465390304310128,0.22960817952360413,0.08333333333333333,0.0,0.20833333333333334,12
