scope,tau,n_kept,n_reversals,rate,wilson_low,wilson_high,cluster_mean,cluster_low,cluster_high,n_clusters
candidate,8.243999999999984e-07,135,22,0.16296296296296298,0.11015006965726473,0.2344267718657371,0.16296296296296298,0.07407407407407408,0.26666666666666666,15
candidate,3.2064300000000004e-05,129,21,0.16279069767441862,0.10900955524451719,0.23607511702681952,0.1614814814814815,0.07111111111111111,0.2651851851851852,15
candidate,3.709122e-05,121,21,0.17355371900826447,0.11640832689272315,0.25078978655663986,0.1614814814814815,0.07259259259259258,0.2637037037037038,15
candidate,0.0003480598,101,18,0.1782178217821782,0.1158097450050057,0.26420734744684543,0.13333333333333333,0.04444444444444444,0.23703703703703707,15
candidate,0.00184826,68,11,0.16176470588235295,0.09279997195749148,0.2669024845579536,0.12967032967032965,0.03296703296703297,0.23131868131867828,13
candidate,0.009458824999999999,34,0,0.0,0.0,0.10151790621961015,0.0,0.0,0.0,12
