reference_from,reference_to,method_a,method_b,method_pair,base_rate_from,base_rate_to,delta_from,delta_to,min_abs_margin,reversal
beeline_gsd,dorothea_trrust_union_immune,random,spearman,random__spearman,1.966524831063226e-06,0.0004745470232959448,-4.821972475961385e-11,-3.1443447103e-05,4.821972475961385e-11,False
beeline_gsd,dorothea_trrust_union_immune,scenic_grnboost2,scenic_pruned,scenic_grnboost2__scenic_pruned,1.966524831063226e-06,0.0004745470232959448,1.9234186388432248e-10,0.0001348116634687,1.9234186388432248e-10,False
beeline_gsd,dorothea_trrust_union_immune,scenic_grnboost2,spearman,scenic_grnboost2__spearman,1.966524831063226e-06,0.0004745470232959448,7.846367044881216e-10,0.00011092162085649999,7.846367044881216e-10,False
beeline_gsd,dorothea_trrust_union_immune,scenic_pruned,spearman,scenic_pruned__spearman,1.966524831063226e-06,0.0004745470232959448,5.922948406037991e-10,-2.38900426122e-05,5.922948406037991e-10,True
beeline_gsd,hpn_dream,genie3,grnboost2,genie3__grnboost2,1.966524831063226e-06,5.203096948854786e-06,7.450707877000497e-12,-4.0620790761549015e-11,7.450707877000497e-12,True
beeline_gsd,hpn_dream,genie3,pearson,genie3__pearson,1.966524831063226e-06,5.203096948854786e-06,3.547221361062332e-11,7.010644745280747e-10,3.547221361062332e-11,False
beeline_gsd,hpn_dream,genie3,pidc_full,genie3__pidc_full,1.966524831063226e-06,5.203096948854786e-06,-5.378012578500052e-10,3.6830252901911637e-10,3.6830252901911637e-10,True
beeline_gsd,hpn_dream,genie3,pidc_proxy,genie3__pidc_proxy,1.966524831063226e-06,5.203096948854786e-06,-9.021043791159301e-10,3.7581069702907866e-10,3.7581069702907866e-10,True
beeline_gsd,hpn_dream,genie3,random,genie3__random,1.966524831063226e-06,5.203096948854786e-06,8.369193837023717e-11,1.296937731464723e-09,8.369193837023717e-11,False
beeline_gsd,hpn_dream,genie3,scenic_grnboost2,genie3__scenic_grnboost2,1.966524831063226e-06,5.203096948854786e-06,-7.491644908774983e-10,2.483648787176045e-10,2.483648787176045e-10,True
beeline_gsd,hpn_dream,genie3,scenic_pruned,genie3__scenic_pruned,1.966524831063226e-06,5.203096948854786e-06,-5.568226269931758e-10,3.4150285117092564e-10,3.4150285117092564e-10,True
beeline_gsd,hpn_dream,genie3,spearman,genie3__spearman,1.966524831063226e-06,5.203096948854786e-06,3.547221361062332e-11,7.010565103198464e-10,3.547221361062332e-11,False
beeline_gsd,hpn_dream,grnboost2,pearson,grnboost2__pearson,1.966524831063226e-06,5.203096948854786e-06,2.802150573362282e-11,7.416852652896237e-10,2.802150573362282e-11,False
beeline_gsd,hpn_dream,grnboost2,pidc_full,grnboost2__pidc_full,1.966524831063226e-06,5.203096948854786e-06,-5.452519657270056e-10,4.089233197806654e-10,4.089233197806654e-10,True
beeline_gsd,hpn_dream,grnboost2,pidc_proxy,grnboost2__pidc_proxy,1.966524831063226e-06,5.203096948854786e-06,-9.095550869929306e-10,4.1643148779062767e-10,4.1643148779062767e-10,True
beeline_gsd,hpn_dream,grnboost2,random,grnboost2__random,1.966524831063226e-06,5.203096948854786e-06,7.624123049323667e-11,1.337558522226272e-09,7.624123049323667e-11,False
beeline_gsd,hpn_dream,grnboost2,scenic_grnboost2,grnboost2__scenic_grnboost2,1.966524831063226e-06,5.203096948854786e-06,-7.566151987544988e-10,2.889856694791535e-10,2.889856694791535e-10,True
beeline_gsd,hpn_dream,grnboost2,scenic_pruned,grnboost2__scenic_pruned,1.966524831063226e-06,5.203096948854786e-06,-5.642733348701763e-10,3.8212364193247465e-10,3.8212364193247465e-10,True
beeline_gsd,hpn_dream,grnboost2,spearman,grnboost2__spearman,1.966524831063226e-06,5.203096948854786e-06,2.802150573362282e-11,7.416773010813954e-10,2.802150573362282e-11,False
beeline_gsd,hpn_dream,pearson,pidc_full,pearson__pidc_full,1.966524831063226e-06,5.203096948854786e-06,-5.732734714606285e-10,-3.327619455089583e-10,3.327619455089583e-10,False
beeline_gsd,hpn_dream,pearson,pidc_proxy,pearson__pidc_proxy,1.966524831063226e-06,5.203096948854786e-06,-9.375765927265535e-10,-3.25253777498996e-10,3.25253777498996e-10,False
beeline_gsd,hpn_dream,pearson,random,pearson__random,1.966524831063226e-06,5.203096948854786e-06,4.821972475961385e-11,5.958732569366482e-10,4.821972475961385e-11,False
beeline_gsd,hpn_dream,pearson,scenic_grnboost2,pearson__scenic_grnboost2,1.966524831063226e-06,5.203096948854786e-06,-7.846367044881216e-10,-4.5269959581047017e-10,4.5269959581047017e-10,False
beeline_gsd,hpn_dream,pearson,scenic_pruned,pearson__scenic_pruned,1.966524831063226e-06,5.203096948854786e-06,-5.922948406037991e-10,-3.5956162335714904e-10,3.5956162335714904e-10,False
beeline_gsd,hpn_dream,pidc_full,pidc_proxy,pidc_full__pidc_proxy,1.966524831063226e-06,5.203096948854786e-06,-3.64303121265925e-10,7.50816800996229e-12,7.50816800996229e-12,True
beeline_gsd,hpn_dream,pidc_full,random,pidc_full__random,1.966524831063226e-06,5.203096948854786e-06,6.214931962202423e-10,9.286352024456066e-10,6.214931962202423e-10,False
beeline_gsd,hpn_dream,pidc_full,scenic_grnboost2,pidc_full__scenic_grnboost2,1.966524831063226e-06,5.203096948854786e-06,-2.1136323302749314e-10,-1.1993765030151186e-10,1.1993765030151186e-10,False
