gene_set,shift_from,shift_to,method_a,method_b,reversal,predicted_unstable,radius,quantile
kidney,all_pairs,tf_sources_targets,genie3,spearman,True,False,0.0068315279,0.5
kidney,all_pairs,tf_sources_targets,grnboost2,pearson,True,False,0.0068315279,0.5
kidney,all_pairs,tf_sources_targets,grnboost2,random,False,False,0.0068315279,0.5
kidney,all_pairs,tf_sources_targets,grnboost2,scgpt_attention,False,False,0.0068315279,0.5
kidney,all_pairs,tf_sources_targets,grnboost2,spearman,True,False,0.0068315279,0.5
kidney,all_pairs,tf_sources_targets,pearson,random,False,True,0.0068315279,0.5
kidney,all_pairs,tf_sources_targets,pearson,scgpt_attention,False,True,0.0068315279,0.5
kidney,all_pairs,tf_sources_targets,pearson,spearman,False,True,0.0068315279,0.5
kidney,all_pairs,tf_sources_targets,random,scgpt_attention,False,True,0.0068315279,0.5
kidney,all_pairs,tf_sources_targets,random,spearman,False,True,0.0068315279,0.5
kidney,all_pairs,tf_sources_targets,scgpt_attention,spearman,False,True,0.0068315279,0.5
kidney,tf_sources,tf_sources_targets,genie3,grnboost2,False,True,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,genie3,pearson,False,True,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,genie3,random,False,False,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,genie3,scgpt_attention,False,False,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,genie3,spearman,False,False,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,grnboost2,pearson,False,True,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,grnboost2,random,False,False,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,grnboost2,scgpt_attention,False,False,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,grnboost2,spearman,False,True,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,pearson,random,False,False,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,pearson,scgpt_attention,False,False,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,pearson,spearman,False,True,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,random,scgpt_attention,False,False,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,random,spearman,False,False,0.0031322250000000006,0.5
kidney,tf_sources,tf_sources_targets,scgpt_attention,spearman,False,False,0.0031322250000000006,0.5
lung,all_pairs,tf_sources,genie3,grnboost2,False,True,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,genie3,pearson,False,False,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,genie3,random,False,False,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,genie3,scgpt_attention,False,False,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,genie3,spearman,False,False,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,grnboost2,pearson,False,False,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,grnboost2,random,False,False,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,grnboost2,scgpt_attention,False,False,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,grnboost2,spearman,False,False,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,pearson,random,False,True,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,pearson,scgpt_attention,False,True,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,pearson,spearman,False,True,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,random,scgpt_attention,False,True,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,random,spearman,False,True,0.0021853052000000003,0.5
lung,all_pairs,tf_sources,scgpt_attention,spearman,False,True,0.0021853052000000003,0.5
lung,all_pairs,tf_sources_targets,genie3,grnboost2,True,True,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,genie3,pearson,False,False,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,genie3,random,False,False,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,genie3,scgpt_attention,False,False,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,genie3,spearman,False,False,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,grnboost2,pearson,False,False,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,grnboost2,random,False,False,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,grnboost2,scgpt_attention,False,False,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,grnboost2,spearman,False,False,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,pearson,random,False,True,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,pearson,scgpt_attention,False,True,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,pearson,spearman,False,True,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,random,scgpt_attention,False,True,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,random,spearman,False,True,0.0062986317499999995,0.5
lung,all_pairs,tf_sources_targets,scgpt_attention,spearman,False,True,0.0062986317499999995,0.5
lung,tf_sources,tf_sources_targets,genie3,grnboost2,True,True,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,genie3,pearson,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,genie3,random,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,genie3,scgpt_attention,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,genie3,spearman,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,grnboost2,pearson,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,grnboost2,random,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,grnboost2,scgpt_attention,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,grnboost2,spearman,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,pearson,random,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,pearson,scgpt_attention,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,pearson,spearman,False,True,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,random,scgpt_attention,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,random,spearman,False,False,0.002961159999999999,0.5
lung,tf_sources,tf_sources_targets,scgpt_attention,spearman,False,False,0.002961159999999999,0.5
immune,all_pairs,tf_sources,genie3,grnboost2,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,genie3,pearson,True,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,genie3,random,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,genie3,scgpt_attention,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,genie3,spearman,True,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,grnboost2,pearson,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,grnboost2,random,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,grnboost2,scgpt_attention,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,grnboost2,spearman,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,pearson,random,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,pearson,scgpt_attention,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,pearson,spearman,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,random,scgpt_attention,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,random,spearman,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources,scgpt_attention,spearman,False,True,0.026235103210000003,0.9
immune,all_pairs,tf_sources_targets,genie3,grnboost2,False,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,genie3,pearson,True,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,genie3,random,True,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,genie3,scgpt_attention,False,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,genie3,spearman,True,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,grnboost2,pearson,True,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,grnboost2,random,False,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,grnboost2,scgpt_attention,False,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,grnboost2,spearman,True,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,pearson,random,False,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,pearson,scgpt_attention,False,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,pearson,spearman,True,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,random,scgpt_attention,False,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,random,spearman,False,True,0.03002809549,0.9
immune,all_pairs,tf_sources_targets,scgpt_attention,spearman,False,True,0.03002809549,0.9
immune,tf_sources,tf_sources_targets,genie3,grnboost2,False,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,genie3,pearson,False,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,genie3,random,True,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,genie3,scgpt_attention,False,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,genie3,spearman,False,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,grnboost2,pearson,True,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,grnboost2,random,False,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,grnboost2,scgpt_attention,False,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,grnboost2,spearman,True,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,pearson,random,False,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,pearson,scgpt_attention,False,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,pearson,spearman,True,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,random,scgpt_attention,False,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,random,spearman,False,True,0.008269256000000001,0.9
immune,tf_sources,tf_sources_targets,scgpt_attention,spearman,False,True,0.008269256000000001,0.9
kidney,all_pairs,tf_sources,genie3,grnboost2,False,True,0.01274673696,0.9
kidney,all_pairs,tf_sources,genie3,pearson,True,False,0.01274673696,0.9
kidney,all_pairs,tf_sources,genie3,random,False,False,0.01274673696,0.9
kidney,all_pairs,tf_sources,genie3,scgpt_attention,False,False,0.01274673696,0.9
kidney,all_pairs,tf_sources,genie3,spearman,True,False,0.01274673696,0.9
kidney,all_pairs,tf_sources,grnboost2,pearson,True,False,0.01274673696,0.9
kidney,all_pairs,tf_sources,grnboost2,random,False,False,0.01274673696,0.9
kidney,all_pairs,tf_sources,grnboost2,scgpt_attention,False,False,0.01274673696,0.9
kidney,all_pairs,tf_sources,grnboost2,spearman,True,False,0.01274673696,0.9
kidney,all_pairs,tf_sources,pearson,random,False,True,0.01274673696,0.9
kidney,all_pairs,tf_sources,pearson,scgpt_attention,False,True,0.01274673696,0.9
kidney,all_pairs,tf_sources,pearson,spearman,False,True,0.01274673696,0.9
kidney,all_pairs,tf_sources,random,scgpt_attention,False,True,0.01274673696,0.9
kidney,all_pairs,tf_sources,random,spearman,False,True,0.01274673696,0.9
kidney,all_pairs,tf_sources,scgpt_attention,spearman,False,True,0.01274673696,0.9
kidney,all_pairs,tf_sources_targets,genie3,grnboost2,False,True,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,genie3,pearson,True,False,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,genie3,random,False,False,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,genie3,scgpt_attention,False,False,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,genie3,spearman,True,False,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,grnboost2,pearson,True,False,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,grnboost2,random,False,False,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,grnboost2,scgpt_attention,False,False,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,grnboost2,spearman,True,False,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,pearson,random,False,True,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,pearson,scgpt_attention,False,True,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,pearson,spearman,False,True,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,random,scgpt_attention,False,True,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,random,spearman,False,True,0.018536027,0.9
kidney,all_pairs,tf_sources_targets,scgpt_attention,spearman,False,True,0.018536027,0.9
kidney,tf_sources,tf_sources_targets,genie3,grnboost2,False,True,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,genie3,pearson,False,True,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,genie3,random,False,False,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,genie3,scgpt_attention,False,False,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,genie3,spearman,False,True,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,grnboost2,pearson,False,True,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,grnboost2,random,False,False,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,grnboost2,scgpt_attention,False,False,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,grnboost2,spearman,False,True,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,pearson,random,False,False,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,pearson,scgpt_attention,False,False,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,pearson,spearman,False,True,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,random,scgpt_attention,False,True,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,random,spearman,False,False,0.008269256000000001,0.9
kidney,tf_sources,tf_sources_targets,scgpt_attention,spearman,False,False,0.008269256000000001,0.9
lung,all_pairs,tf_sources,genie3,grnboost2,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,genie3,pearson,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,genie3,random,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,genie3,scgpt_attention,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,genie3,spearman,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,grnboost2,pearson,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,grnboost2,random,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,grnboost2,scgpt_attention,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,grnboost2,spearman,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,pearson,random,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,pearson,scgpt_attention,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,pearson,spearman,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,random,scgpt_attention,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,random,spearman,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources,scgpt_attention,spearman,False,True,0.026235103210000003,0.9
lung,all_pairs,tf_sources_targets,genie3,grnboost2,True,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,genie3,pearson,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,genie3,random,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,genie3,scgpt_attention,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,genie3,spearman,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,grnboost2,pearson,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,grnboost2,random,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,grnboost2,scgpt_attention,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,grnboost2,spearman,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,pearson,random,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,pearson,scgpt_attention,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,pearson,spearman,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,random,scgpt_attention,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,random,spearman,False,True,0.03002809549,0.9
lung,all_pairs,tf_sources_targets,scgpt_attention,spearman,False,True,0.03002809549,0.9
lung,tf_sources,tf_sources_targets,genie3,grnboost2,True,True,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,genie3,pearson,False,False,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,genie3,random,False,False,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,genie3,scgpt_attention,False,False,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,genie3,spearman,False,False,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,grnboost2,pearson,False,False,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,grnboost2,random,False,False,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,grnboost2,scgpt_attention,False,False,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,grnboost2,spearman,False,False,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,pearson,random,False,False,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,pearson,scgpt_attention,False,False,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,pearson,spearman,False,True,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,random,scgpt_attention,False,True,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,random,spearman,False,False,0.004990209000000001,0.9
lung,tf_sources,tf_sources_targets,scgpt_attention,spearman,False,False,0.004990209000000001,0.9
