reference,method,policy_from,policy_to,f1_from,f1_to,coverage_from,coverage_to,quality_from,quality_to,delta_f1,coverage_term,quality_term,decomposition_error
dorothea_human,attention_inferred,crosswalk,omnipath_ref,8.01895681390808e-06,8.01895681390808e-06,0.9884481255448996,0.9884481255448996,8.112673398502817e-06,8.112673398502817e-06,0.0,0.0,0.0,0.0
dorothea_human,attention_inferred,full_genes,crosswalk,8.01895681390808e-06,8.01895681390808e-06,0.9884481255448996,0.9884481255448996,8.112673398502817e-06,8.112673398502817e-06,0.0,0.0,0.0,0.0
dorothea_human,attention_inferred,full_genes,omnipath_ref,8.01895681390808e-06,8.01895681390808e-06,0.9884481255448996,0.9884481255448996,8.112673398502817e-06,8.112673398502817e-06,0.0,0.0,0.0,0.0
dorothea_human,attention_inferred,legacy_symbols,crosswalk,1.6211133806698443e-05,8.01895681390808e-06,0.09497602441150828,0.9884481255448996,0.00017068659071745832,8.112673398502817e-06,-8.192176992790364e-06,0.00015250370684362268,-0.00016069588383641305,0.0
dorothea_human,attention_inferred,legacy_symbols,full_genes,1.6211133806698443e-05,8.01895681390808e-06,0.09497602441150828,0.9884481255448996,0.00017068659071745832,8.112673398502817e-06,-8.192176992790364e-06,0.00015250370684362268,-0.00016069588383641305,0.0
dorothea_human,attention_inferred,legacy_symbols,omnipath_ref,1.6211133806698443e-05,8.01895681390808e-06,0.09497602441150828,0.9884481255448996,0.00017068659071745832,8.112673398502817e-06,-8.192176992790364e-06,0.00015250370684362268,-0.00016069588383641305,0.0
dorothea_human,probe_attention,crosswalk,omnipath_ref,7.207539085883835e-05,7.207539085883835e-05,0.9884481255448996,0.9884481255448996,7.29177272900442e-05,7.29177272900442e-05,0.0,0.0,0.0,0.0
dorothea_human,probe_attention,full_genes,crosswalk,7.207539085883835e-05,7.207539085883835e-05,0.9884481255448996,0.9884481255448996,7.29177272900442e-05,7.29177272900442e-05,0.0,0.0,0.0,0.0
dorothea_human,probe_attention,full_genes,omnipath_ref,7.207539085883835e-05,7.207539085883835e-05,0.9884481255448996,0.9884481255448996,7.29177272900442e-05,7.29177272900442e-05,0.0,0.0,0.0,0.0
dorothea_human,probe_attention,legacy_symbols,crosswalk,0.0001457277481824,7.207539085883835e-05,0.09497602441150828,0.9884481255448996,0.001534363531063342,7.29177272900442e-05,-7.365235732356164e-05,0.0013709110080016135,-0.0014445633653251753,2.168404344971009e-19
dorothea_human,probe_attention,legacy_symbols,full_genes,0.0001457277481824,7.207539085883835e-05,0.09497602441150828,0.9884481255448996,0.001534363531063342,7.29177272900442e-05,-7.365235732356164e-05,0.0013709110080016135,-0.0014445633653251753,2.168404344971009e-19
dorothea_human,probe_attention,legacy_symbols,omnipath_ref,0.0001457277481824,7.207539085883835e-05,0.09497602441150828,0.9884481255448996,0.001534363531063342,7.29177272900442e-05,-7.365235732356164e-05,0.0013709110080016135,-0.0014445633653251753,2.168404344971009e-19
dorothea_human,probe_consensus,crosswalk,omnipath_ref,0.0001481549700987,0.0001481549700987,0.9884481255448996,0.9884481255448996,0.00014988643942951172,0.00014988643942951172,0.0,0.0,0.0,0.0
dorothea_human,probe_consensus,full_genes,crosswalk,0.0001481549700987,0.0001481549700987,0.9884481255448996,0.9884481255448996,0.00014988643942951172,0.00014988643942951172,0.0,0.0,0.0,0.0
dorothea_human,probe_consensus,full_genes,omnipath_ref,0.0001481549700987,0.0001481549700987,0.9884481255448996,0.9884481255448996,0.00014988643942951172,0.00014988643942951172,0.0,0.0,0.0,0.0
dorothea_human,probe_consensus,legacy_symbols,crosswalk,0.000299551482375,0.0001481549700987,0.09497602441150828,0.9884481255448996,0.003153969480519793,0.00014988643942951172,-0.00015139651227629998,0.00281798373867061,-0.0029693802509469106,8.673617379884035e-19
dorothea_human,probe_consensus,legacy_symbols,full_genes,0.000299551482375,0.0001481549700987,0.09497602441150828,0.9884481255448996,0.003153969480519793,0.00014988643942951172,-0.00015139651227629998,0.00281798373867061,-0.0029693802509469106,8.673617379884035e-19
dorothea_human,probe_consensus,legacy_symbols,omnipath_ref,0.000299551482375,0.0001481549700987,0.09497602441150828,0.9884481255448996,0.003153969480519793,0.00014988643942951172,-0.00015139651227629998,0.00281798373867061,-0.0029693802509469106,8.673617379884035e-19
dorothea_human,probe_grad_input,crosswalk,omnipath_ref,7.637269876999759e-05,7.637269876999759e-05,0.9884481255448996,0.9884481255448996,7.726525732232613e-05,7.726525732232613e-05,0.0,0.0,0.0,0.0
