metric,n,k,rate,wilson_low,wilson_high
aupr_median,45,4,0.08888888888888889,0.035110548134203154,0.20733851168365702
auroc_median,40,0,0.0,0.0,0.08762453925039232
f1_median,45,4,0.08888888888888889,0.035110548134203154,0.20733851168365702
