scope,n,k,rate,wilson_low,wilson_high,p_two_vs_half,reference_from,reference_to,q_fdr_bh
reference_shift_cells,35,15,0.42857142857142855,0.27984333081678914,0.5914287074102662,0.39802471950693774,beeline_gsd,dorothea_trrust_union_immune,0.39802471950693774
reference_shift_cells,35,12,0.34285714285714286,0.20831495282688922,0.5084835312726328,0.06297905121445524,beeline_gsd,hpn_dream,0.09446857682168286
reference_shift_cells,36,7,0.19444444444444445,0.09752972019453349,0.350283620635152,0.00024573277993034104,dorothea_trrust_union_immune,hpn_dream,0.0007371983397910231
