scope,n,k,rate,ci95_low,ci95_high,candidate_set,tissue_from,tissue_to
tissue_shift,15,1,0.06666666666666667,0.011866588606194856,0.2981707755242399,all_pairs,immune,kidney
tissue_shift,15,0,0.0,-1.3877787807814457e-17,0.20388926630434784,all_pairs,immune,lung
tissue_shift,15,1,0.06666666666666667,0.011866588606194856,0.2981707755242399,all_pairs,kidney,lung
tissue_shift,15,3,0.2,0.07047420643610411,0.4518593533465045,tf_sources,immune,kidney
tissue_shift,15,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,tf_sources,immune,lung
tissue_shift,15,5,0.3333333333333333,0.15176100694691233,0.5828687484878702,tf_sources,kidney,lung
tissue_shift,15,1,0.06666666666666667,0.011866588606194856,0.2981707755242399,tf_sources_targets,immune,kidney
tissue_shift,15,7,0.4666666666666667,0.24809225259746442,0.6988336984894921,tf_sources_targets,immune,lung
tissue_shift,15,6,0.4,0.1982422808259466,0.642535572434923,tf_sources_targets,kidney,lung
