scope,tau,n_kept,n_reversals,rate,wilson_low,wilson_high,cluster_mean,cluster_low,cluster_high,n_clusters
reference,7.964208228317246e-15,106,34,0.32075471698113206,0.2395072198504602,0.41454006278198496,0.31481481481481477,0.2037037037037037,0.4259259259259258,36
reference,1.9021369143170654e-11,101,30,0.297029702970297,0.2166816101177431,0.39225224819803983,0.28571428571428564,0.17142857142857143,0.39999999999999997,35
reference,2.802150573362282e-11,98,30,0.30612244897959184,0.22362525822357754,0.4032462756093553,0.2941176470588235,0.17647058823529413,0.41176470588235287,34
reference,8.605344689100816e-11,79,28,0.35443037974683544,0.2579524012236301,0.4644093107664811,0.2828282828282828,0.1818181818181818,0.404040404040404,33
reference,3.595576412530349e-10,53,20,0.37735849056603776,0.25936076571733824,0.5119334976390768,0.367816091954023,0.21839080459770113,0.528735632183908,29
reference,5.958792300928195e-10,27,6,0.2222222222222222,0.10607095489408958,0.4075729546307081,0.2456140350877193,0.07017543859649122,0.45614035087719296,19
