quantile,tp,fp,fn,tn,precision,recall,specificity,f1,pr_auc,predicted_unstable_rate
0.05,4,20,18,93,0.16666666666666666,0.18181818181818182,0.8230088495575221,0.17391304347826086,0.17673036448915022,0.17777777777777778
0.1,4,32,18,81,0.1111111111111111,0.18181818181818182,0.7168141592920354,0.13793103448275862,0.17673036448915022,0.26666666666666666
0.15,9,35,13,78,0.20454545454545456,0.4090909090909091,0.6902654867256637,0.27272727272727276,0.17673036448915022,0.32592592592592595
0.2,11,39,11,74,0.22,0.5,0.6548672566371682,0.3055555555555556,0.17673036448915022,0.37037037037037035
0.25,14,45,8,68,0.23728813559322035,0.6363636363636364,0.6017699115044248,0.345679012345679,0.17673036448915022,0.43703703703703706
0.3,14,52,8,61,0.21212121212121213,0.6363636363636364,0.5398230088495575,0.3181818181818182,0.17673036448915022,0.4888888888888889
0.35,14,59,8,54,0.1917808219178082,0.6363636363636364,0.4778761061946903,0.29473684210526313,0.17673036448915022,0.5407407407407407
0.39999999999999997,14,63,8,50,0.18181818181818182,0.6363636363636364,0.4424778761061947,0.2828282828282829,0.17673036448915022,0.5703703703703704
0.44999999999999996,14,65,8,48,0.17721518987341772,0.6363636363636364,0.4247787610619469,0.27722772277227725,0.17673036448915022,0.5851851851851851
0.49999999999999994,14,66,8,47,0.175,0.6363636363636364,0.415929203539823,0.27450980392156865,0.17673036448915022,0.5925925925925926
0.5499999999999999,14,68,8,45,0.17073170731707318,0.6363636363636364,0.39823008849557523,0.2692307692307692,0.17673036448915022,0.6074074074074074
0.6,14,69,8,44,0.1686746987951807,0.6363636363636364,0.3893805309734513,0.26666666666666666,0.17673036448915022,0.6148148148148148
0.65,14,69,8,44,0.1686746987951807,0.6363636363636364,0.3893805309734513,0.26666666666666666,0.17673036448915022,0.6148148148148148
0.7,14,69,8,44,0.1686746987951807,0.6363636363636364,0.3893805309734513,0.26666666666666666,0.17673036448915022,0.6148148148148148
0.75,14,69,8,44,0.1686746987951807,0.6363636363636364,0.3893805309734513,0.26666666666666666,0.17673036448915022,0.6148148148148148
0.7999999999999999,14,81,8,32,0.14736842105263157,0.6363636363636364,0.2831858407079646,0.2393162393162393,0.17673036448915022,0.7037037037037037
0.85,14,85,8,28,0.1414141414141414,0.6363636363636364,0.24778761061946902,0.23140495867768593,0.17673036448915022,0.7333333333333333
0.9,14,85,8,28,0.1414141414141414,0.6363636363636364,0.24778761061946902,0.23140495867768593,0.17673036448915022,0.7333333333333333
0.95,14,85,8,28,0.1414141414141414,0.6363636363636364,0.24778761061946902,0.23140495867768593,0.17673036448915022,0.7333333333333333
