scope,tp,fp,fn,tn,precision,recall,specificity
loo_q50_overall,14,66,8,47,0.175,0.6363636363636364,0.415929203539823
loo_q90_overall,14,85,8,28,0.1414141414141414,0.6363636363636364,0.24778761061946902
