scope,tp,fp,fn,tn,precision,recall,specificity,shift_from,shift_to
loo_q50_by_transition,2,27,4,12,0.06896551724137931,0.3333333333333333,0.3076923076923077,all_pairs,tf_sources
loo_q50_by_transition,7,22,4,12,0.2413793103448276,0.6363636363636364,0.35294117647058826,all_pairs,tf_sources_targets
loo_q50_by_transition,5,17,0,23,0.22727272727272727,1.0,0.575,tf_sources,tf_sources_targets
loo_q90_by_transition,2,35,4,4,0.05405405405405406,0.3333333333333333,0.10256410256410256,all_pairs,tf_sources
loo_q90_by_transition,7,30,4,4,0.1891891891891892,0.6363636363636364,0.11764705882352941,all_pairs,tf_sources_targets
loo_q90_by_transition,5,20,0,20,0.2,1.0,0.5,tf_sources,tf_sources_targets
