candidate_set,tissue_from,tissue_to,method_a,method_b,method_pair,delta_from,delta_to,min_abs_margin,reversal
tf_sources,immune,lung,genie3,random,genie3__random,0.00147533,0.02159788,0.00147533,False
tf_sources,immune,lung,genie3,scgpt_attention,genie3__scgpt_attention,0.00171645,0.02475439,0.00171645,False
tf_sources,immune,lung,genie3,spearman,genie3__spearman,-0.00037293000000000005,0.011858500000000001,0.00037293000000000005,True
tf_sources,immune,lung,grnboost2,pearson,grnboost2__pearson,0.0005362100000000001,0.0119609,0.0005362100000000001,False
tf_sources,immune,lung,grnboost2,random,grnboost2__random,0.00247145,0.021870380000000002,0.00247145,False
tf_sources,immune,lung,grnboost2,scgpt_attention,grnboost2__scgpt_attention,0.00271257,0.02502689,0.00271257,False
tf_sources,immune,lung,grnboost2,spearman,grnboost2__spearman,0.00062319,0.012131,0.00062319,False
tf_sources,immune,lung,pearson,random,pearson__random,0.00193524,0.00990948,0.00193524,False
tf_sources,immune,lung,pearson,scgpt_attention,pearson__scgpt_attention,0.00217636,0.01306599,0.00217636,False
tf_sources,immune,lung,pearson,spearman,pearson__spearman,8.697999999999996e-05,0.00017009999999999942,8.697999999999996e-05,False
tf_sources,immune,lung,random,scgpt_attention,random__scgpt_attention,0.00024112000000000005,0.00315651,0.00024112000000000005,False
tf_sources,immune,lung,random,spearman,random__spearman,-0.00184826,-0.00973938,0.00184826,False
tf_sources,immune,lung,scgpt_attention,spearman,scgpt_attention__spearman,-0.00208938,-0.01289589,0.00208938,False
tf_sources,kidney,lung,genie3,grnboost2,genie3__grnboost2,-0.0008649000000000018,-0.00027249999999999844,0.00027249999999999844,False
tf_sources,kidney,lung,genie3,pearson,genie3__pearson,-0.001943700000000003,0.011688400000000002,0.001943700000000003,True
tf_sources,kidney,lung,genie3,random,genie3__random,0.02136685,0.02159788,0.02136685,False
tf_sources,kidney,lung,genie3,scgpt_attention,genie3__scgpt_attention,0.02470066,0.02475439,0.02470066,False
tf_sources,kidney,lung,genie3,spearman,genie3__spearman,-0.003782500000000001,0.011858500000000001,0.003782500000000001,True
tf_sources,kidney,lung,grnboost2,pearson,grnboost2__pearson,-0.0010788000000000013,0.0119609,0.0010788000000000013,True
tf_sources,kidney,lung,grnboost2,random,grnboost2__random,0.02223175,0.021870380000000002,0.021870380000000002,False
tf_sources,kidney,lung,grnboost2,scgpt_attention,grnboost2__scgpt_attention,0.02556556,0.02502689,0.02502689,False
tf_sources,kidney,lung,grnboost2,spearman,grnboost2__spearman,-0.0029175999999999994,0.012131,0.0029175999999999994,True
tf_sources,kidney,lung,pearson,random,pearson__random,0.02331055,0.00990948,0.00990948,False
tf_sources,kidney,lung,pearson,scgpt_attention,pearson__scgpt_attention,0.026644360000000002,0.01306599,0.01306599,False
tf_sources,kidney,lung,pearson,spearman,pearson__spearman,-0.001838799999999998,0.00017009999999999942,0.00017009999999999942,True
tf_sources,kidney,lung,random,scgpt_attention,random__scgpt_attention,0.0033338100000000004,0.00315651,0.00315651,False
tf_sources,kidney,lung,random,spearman,random__spearman,-0.02514935,-0.00973938,0.00973938,False
tf_sources,kidney,lung,scgpt_attention,spearman,scgpt_attention__spearman,-0.02848316,-0.01289589,0.01289589,False
tf_sources_targets,immune,kidney,genie3,grnboost2,genie3__grnboost2,-0.00197022,-0.00043299999999999936,0.00043299999999999936,False
tf_sources_targets,immune,kidney,genie3,pearson,genie3__pearson,-0.004923219999999999,-0.005329399999999998,0.004923219999999999,False
tf_sources_targets,immune,kidney,genie3,random,genie3__random,-0.00041375999999999913,0.0168733,0.00041375999999999913,True
tf_sources_targets,immune,kidney,genie3,scgpt_attention,genie3__scgpt_attention,0.0010999700000000005,0.02355521,0.0010999700000000005,False
tf_sources_targets,immune,kidney,genie3,spearman,genie3__spearman,-0.00597692,-0.008797,0.00597692,False
tf_sources_targets,immune,kidney,grnboost2,pearson,grnboost2__pearson,-0.002952999999999999,-0.004896399999999999,0.002952999999999999,False
tf_sources_targets,immune,kidney,grnboost2,random,grnboost2__random,0.0015564600000000008,0.0173063,0.0015564600000000008,False
tf_sources_targets,immune,kidney,grnboost2,scgpt_attention,grnboost2__scgpt_attention,0.0030701900000000004,0.02398821,0.0030701900000000004,False
tf_sources_targets,immune,kidney,grnboost2,spearman,grnboost2__spearman,-0.0040067,-0.008364,0.0040067,False
tf_sources_targets,immune,kidney,pearson,random,pearson__random,0.00450946,0.0222027,0.00450946,False
tf_sources_targets,immune,kidney,pearson,scgpt_attention,pearson__scgpt_attention,0.0060231899999999994,0.028884609999999998,0.0060231899999999994,False
tf_sources_targets,immune,kidney,pearson,spearman,pearson__spearman,-0.0010537000000000012,-0.0034676000000000012,0.0010537000000000012,False
tf_sources_targets,immune,kidney,random,scgpt_attention,random__scgpt_attention,0.0015137299999999996,0.006681909999999999,0.0015137299999999996,False
tf_sources_targets,immune,kidney,random,spearman,random__spearman,-0.005563160000000001,-0.0256703,0.005563160000000001,False
tf_sources_targets,immune,kidney,scgpt_attention,spearman,scgpt_attention__spearman,-0.007076890000000001,-0.03235221,0.007076890000000001,False
tf_sources_targets,immune,lung,genie3,grnboost2,genie3__grnboost2,-0.00197022,0.00016410000000000036,0.00016410000000000036,True
tf_sources_targets,immune,lung,genie3,pearson,genie3__pearson,-0.004923219999999999,0.005251100000000002,0.004923219999999999,True
tf_sources_targets,immune,lung,genie3,random,genie3__random,-0.00041375999999999913,0.013351,0.00041375999999999913,True
tf_sources_targets,immune,lung,genie3,scgpt_attention,genie3__scgpt_attention,0.0010999700000000005,0.01628375,0.0010999700000000005,False
tf_sources_targets,immune,lung,genie3,spearman,genie3__spearman,-0.00597692,0.006163100000000001,0.00597692,True
tf_sources_targets,immune,lung,grnboost2,pearson,grnboost2__pearson,-0.002952999999999999,0.005087000000000001,0.002952999999999999,True
tf_sources_targets,immune,lung,grnboost2,random,grnboost2__random,0.0015564600000000008,0.0131869,0.0015564600000000008,False
tf_sources_targets,immune,lung,grnboost2,scgpt_attention,grnboost2__scgpt_attention,0.0030701900000000004,0.01611965,0.0030701900000000004,False
tf_sources_targets,immune,lung,grnboost2,spearman,grnboost2__spearman,-0.0040067,0.005999000000000001,0.0040067,True
tf_sources_targets,immune,lung,pearson,random,pearson__random,0.00450946,0.008099899999999998,0.00450946,False
tf_sources_targets,immune,lung,pearson,scgpt_attention,pearson__scgpt_attention,0.0060231899999999994,0.011032649999999998,0.0060231899999999994,False
tf_sources_targets,immune,lung,pearson,spearman,pearson__spearman,-0.0010537000000000012,0.0009119999999999996,0.0009119999999999996,True
tf_sources_targets,immune,lung,random,scgpt_attention,random__scgpt_attention,0.0015137299999999996,0.0029327499999999996,0.0015137299999999996,False
tf_sources_targets,immune,lung,random,spearman,random__spearman,-0.005563160000000001,-0.007187899999999999,0.005563160000000001,False
tf_sources_targets,immune,lung,scgpt_attention,spearman,scgpt_attention__spearman,-0.007076890000000001,-0.010120649999999998,0.007076890000000001,False
tf_sources_targets,kidney,lung,genie3,grnboost2,genie3__grnboost2,-0.00043299999999999936,0.00016410000000000036,0.00016410000000000036,True
tf_sources_targets,kidney,lung,genie3,pearson,genie3__pearson,-0.005329399999999998,0.005251100000000002,0.005251100000000002,True
tf_sources_targets,kidney,lung,genie3,random,genie3__random,0.0168733,0.013351,0.013351,False
tf_sources_targets,kidney,lung,genie3,scgpt_attention,genie3__scgpt_attention,0.02355521,0.01628375,0.01628375,False
tf_sources_targets,kidney,lung,genie3,spearman,genie3__spearman,-0.008797,0.006163100000000001,0.006163100000000001,True
tf_sources_targets,kidney,lung,grnboost2,pearson,grnboost2__pearson,-0.004896399999999999,0.005087000000000001,0.004896399999999999,True
tf_sources_targets,kidney,lung,grnboost2,random,grnboost2__random,0.0173063,0.0131869,0.0131869,False
tf_sources_targets,kidney,lung,grnboost2,scgpt_attention,grnboost2__scgpt_attention,0.02398821,0.01611965,0.01611965,False
tf_sources_targets,kidney,lung,grnboost2,spearman,grnboost2__spearman,-0.008364,0.005999000000000001,0.005999000000000001,True
tf_sources_targets,kidney,lung,pearson,random,pearson__random,0.0222027,0.008099899999999998,0.008099899999999998,False
tf_sources_targets,kidney,lung,pearson,scgpt_attention,pearson__scgpt_attention,0.028884609999999998,0.011032649999999998,0.011032649999999998,False
tf_sources_targets,kidney,lung,pearson,spearman,pearson__spearman,-0.0034676000000000012,0.0009119999999999996,0.0009119999999999996,True
tf_sources_targets,kidney,lung,random,scgpt_attention,random__scgpt_attention,0.006681909999999999,0.0029327499999999996,0.0029327499999999996,False
tf_sources_targets,kidney,lung,random,spearman,random__spearman,-0.0256703,-0.007187899999999999,0.007187899999999999,False
tf_sources_targets,kidney,lung,scgpt_attention,spearman,scgpt_attention__spearman,-0.03235221,-0.010120649999999998,0.010120649999999998,False
