gene_set,prediction_method,aupr_median,auroc_median,f1_median
immune,grnboost2,0.009266,0.5016,0.004908
immune,genie3,0.006433,0.5021,0.004037
immune,pearson,0.003418,0.5001,0.0004216
immune,spearman,0.003331,0.5001,0.0004095
immune,random,0.001482,0.5,0.000128
immune,scgpt_attention,0.001241,0.5,0.0001162
kidney,grnboost2,0.02666,0.508,0.02916
kidney,genie3,0.0258,0.5082,0.0288
kidney,spearman,0.008355,0.501,0.003312
kidney,pearson,0.008167,0.501,0.003122
kidney,random,0.002149,0.5001,0.0003313
kidney,scgpt_attention,0.001098,0.5,0.0
lung,genie3,0.02562,0.5097,0.02916
lung,grnboost2,0.02545,0.5095,0.02855
lung,spearman,0.01403,0.5008,0.003159
lung,pearson,0.01283,0.5008,0.00318
lung,random,0.003472,0.5001,0.0004398
lung,scgpt_attention,0.00142,0.5,0.000158
